rule_id,item_keywords,accepted_in_plastic_only_bin,answer_title,chatbot_response,preparation_steps,redirect_if_not_accepted,escalation_trigger,category,confidence,source_url
P023,styrofoam; polystyrene; foam box; foam cup; foam container; foam tray; packing peanuts; cooler box,no,No — styrofoam and foam are not accepted,"Styrofoam, polystyrene, foam food boxes, foam cups, packing peanuts and cooler boxes should not go into the plastics-only bin.",,Use general waste unless your site has a dedicated foam recycling programme.,Report if foam items are filling the plastics-only bin.,Foam plastics,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P024,melamine; melamine plate; melamine bowl; melamine cup; hard melamine product,no,No — melamine products are not accepted,Melamine products are not accepted in this plastics-only recycling bin.,,"If reusable, donate or reuse. If damaged, use general waste.",,Non-recyclable plastics,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P025,toy; plastic toy; lego; action figure; figurine; soft toy; plush toy,no,No — toys do not belong in this bin,"Toys often contain mixed materials, electronics, paint, fabric or small parts. They should not go into the plastics-only bin.",,"Donate usable toys. If broken and non-electronic, use general waste. If electronic, use e-waste recycling.",Report if bulky toys are dumped near the bin.,Toys,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P026,credit card; debit card; membership card; student card; expired card; access card; ezlink card,no,No — cards are not accepted,"Plastic cards such as credit, membership and access cards are not accepted in this plastics-only bin because they may contain chips, magnetic strips or mixed materials.",,"Cut up sensitive cards and dispose of them securely. For stored-value or electronic cards, follow issuer instructions or e-waste guidance.",Do not expose personal data in the bin.,Cards,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P027,pen; marker; highlighter; mechanical pencil; correction tape; stationery,no,No — stationery is not accepted,"Pens, markers, highlighters and correction tape contain mixed plastics, ink, springs or small parts. They should not go into the plastics-only bin.",,Use general waste or a dedicated stationery recycling programme if available.,,Stationery,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P028,toothbrush; toothpaste tube; razor; disposable razor; comb; hairbrush,no,No — personal care items are not accepted,"Toothbrushes, toothpaste tubes, razors, combs and hairbrushes are usually mixed-material items and should not go into this plastics-only bin.",,Use general waste unless a dedicated take-back programme is available.,,Personal care,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P029,medicine bottle; pill bottle; vitamin bottle; supplement bottle; pharmacy bottle,conditional,Conditional — empty plastic bottles only,"Empty plastic medicine or vitamin bottles may be accepted if they are clean, dry and have no medicine left inside.",Remove personal labels if needed. Empty fully. Rinse and dry.,"Do not place pills, liquids, medical sharps or medicine residue in this bin.","For medicines or sharps, ask a pharmacy, clinic or facilities team.",Medicine packaging,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P030,blister pack; pill blister pack; medicine blister; tablet blister; capsule blister,no,No — blister packs are mixed material,"Medicine blister packs are usually plastic and foil mixed together, so they should not go into the plastics-only bin.",,Use general waste unless a dedicated blister-pack recycling programme is available.,,Medicine packaging,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P031,mask; face mask; surgical mask; glove; plastic glove; disposable glove; PPE,no,No — PPE is general waste,Masks and disposable gloves should not go into the plastics-only recycling bin because of hygiene and contamination risks.,,Use general waste.,Report if PPE is contaminating the bin.,Hygiene waste,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P032,wet wipe; tissue; napkin; paper towel; used tissue; serviette,no,No — tissue and wipes are not plastic recycling,"Tissue, napkins, paper towels and wet wipes do not belong in this plastics-only bin, especially when used or wet.",,Use general waste.,Report contamination if tissues are being dumped into the plastics-only bin.,Paper and hygiene waste,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P033,paper; newspaper; magazine; envelope; printed paper; office paper; paper bag; cardboard; carton box,no,No — paper/cardboard is not for this plastics-only bin,"Paper and cardboard may be recyclable elsewhere, but they should not go into a plastics-only bin.",,"Use the paper recycling stream, blue bin, or general waste if wet/dirty.",,Non-plastic recyclable,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P034,milk carton; drink carton; tetra pak; juice carton; carton drink; UHT carton,no,No — cartons are not plastics-only items,Drink cartons are mixed-material packaging and should not go into this plastics-only bin.,,"Use the correct recycling stream if available. If dirty or not accepted onsite, use general waste.",,Non-plastic recyclable,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P035,aluminium can; aluminum can; metal can; drink can; soda can; tin can; steel can; canned food can,no,No — metal cans are not for this plastics-only bin,"Metal cans may be recyclable elsewhere, but they do not belong in a plastics-only bin.",,"Use the metal recycling stream, Return Right RVM if eligible, or blue bin if appropriate for your site.",,Non-plastic recyclable,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P036,glass bottle; glass jar; wine bottle; beer bottle; jam jar; glass container; glass cup,no,No — glass is not for this plastics-only bin,"Glass bottles and jars may be recyclable elsewhere, but they should not go into a plastics-only bin.",,"Use the glass recycling stream or blue bin if suitable for your site. If broken, wrap safely and use proper disposal.",Report broken glass near the bin for safety.,Non-plastic recyclable,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P037,ceramic; ceramic cup; mug; plate; porcelain; clay cup; glassware,no,No — ceramic and glassware are not accepted,"Ceramic cups, mugs, plates and glassware are not plastic items and should not go into the plastics-only bin.",,"Reuse, donate if usable, or use general waste if broken/damaged.",Report broken items for safety.,Non-plastic waste,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P038,food waste; leftover food; banana peel; apple core; rice; noodles; tea leaves; coffee grounds,no,No — food waste contaminates recycling,Food waste must never go into the plastics-only recycling bin because it contaminates otherwise recyclable items.,,"Use food waste collection if available, or general waste.",Report contamination if food waste is inside the bin.,Food waste,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P039,liquid; water; tea; coffee; soft drink; juice; soup; leftover drink; ice,no,No — liquids must be emptied first,Liquids should not go into the plastics-only recycling bin because they contaminate recyclables and make the bin dirty.,,"Pour liquids into the sink where appropriate, then recycle only the empty, clean and dry plastic container if accepted.",Report leaking bins or repeated liquid contamination.,Liquids,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P040,oily container; greasy container; food stained container; sauce container; curry container; dirty plastic container; mouldy container,no,No — dirty or greasy plastics are not accepted,"Dirty, greasy, food-stained or mouldy plastics should not go into the plastics-only bin because they contaminate the stream.",,"If it cannot be cleaned with a quick rinse, use general waste.",Report contamination if many dirty containers are found.,Contaminated plastics,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P041,biodegradable plastic; compostable plastic; PLA cup; cornstarch cup; oxo biodegradable plastic; plant based plastic,no,No — compostable plastics are not for this bin,Compostable or biodegradable plastics should not go into this plastics-only recycling bin because they can contaminate conventional plastic recycling.,,Use general waste unless your site has a dedicated compostable packaging collection.,Ask facilities if event vendors supply compostable packaging.,Compostable packaging,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P042,paper cup; coffee cup; hot drink cup; takeaway coffee cup; paper bowl; paper plate,no,No — paper cups and bowls are not plastics-only items,Paper cups and bowls are not accepted in this plastics-only bin. Many also have plastic lining and food/drink residue.,,Use general waste unless your site has a dedicated paper cup recycling programme.,,Paper foodware,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P043,plastic hanger; clothes hanger; coat hanger,no,No — hangers are not accepted,"Plastic hangers are usually bulky, mixed-material, or unsuitable for this bin.",,"Reuse, return to a shop if accepted, donate if usable, or use general waste.",Report bulky items blocking the bin.,Bulky plastics,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P044,plastic folder; clear folder; file folder; plastic sleeve; document sleeve,conditional,Conditional — check material and site policy,"Thin plastic folders and sleeves may not be accepted by all plastics-only bins, especially if they are PVC or mixed with metal clips.","Remove paper, metal clips and labels. Only place it in the bin if your site accepts this type of plastic.","If unsure, use general waste or ask facilities.",Ask facilities to confirm if office plastic stationery is accepted.,Office plastics,Medium,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P045,laminated paper; laminated card; name tag; lanyard card; laminated poster,no,No — laminated items are mixed material,Laminated paper and cards are mixed materials and should not go into the plastics-only bin.,,Use general waste unless there is a dedicated recycling programme.,,Mixed materials,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P046,plastic tube; squeeze tube; cosmetic tube; sunscreen tube; lotion tube; toothpaste tube,no,No — squeeze tubes are usually not accepted,"Squeeze tubes are often multi-layered and hard to clean fully, so they should not go into the plastics-only bin.",,Use general waste unless a brand take-back programme accepts it.,,Personal care packaging,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P047,cosmetic bottle; makeup bottle; skincare bottle; serum bottle; toner bottle; cleanser bottle,conditional,Conditional — empty plastic bottles only,"Plastic cosmetic or skincare bottles may be accepted if they are empty, clean and dry. Mixed-material pumps, mirrors or applicators should not go in.",Empty product. Rinse if possible. Remove mixed pumps/applicators.,"If still sticky, oily, or glass, do not use this plastics-only bin.",,Personal care packaging,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P048,laundry capsule tub; detergent tub; plastic tub; protein powder tub; large plastic tub,yes,Yes — rigid plastic tubs are accepted if clean,"Rigid plastic tubs can go into the plastics-only bin if they are empty, clean and dry.",Empty all contents. Rinse if powdery or sticky. Dry. Replace plastic lid if accepted.,"If it held chemicals, hazardous material or food residue that cannot be cleaned, do not use this bin.",Ask facilities if the tub is too bulky for the bin opening.,Rigid plastic tubs,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P049,plastic pail; plastic bucket; plastic basin; plastic crate; storage box,conditional,Conditional — only if site accepts bulky rigid plastics,Bulky rigid plastics may not fit or may not be part of this bin’s collection stream. Check with facilities before placing large items in the plastics-only bin.,Empty and clean the item.,"Do not force bulky items into the bin. Reuse, donate, or ask facilities for bulky disposal.",Escalate to facilities for bulky plastics.,Bulky plastics,Medium,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P050,plastic plant pot; plant pot; nursery pot; flower pot,conditional,Conditional — only if clean and accepted by site,"Plastic plant pots may be recyclable only if empty, clean and dry, but many are dirty with soil and may not be accepted by this bin.",Remove all soil and plant matter. Rinse and dry.,"If soil-stained, muddy or too bulky, use general waste or check with facilities.",,Garden plastics,Medium,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P051,plastic plate packaging; plastic packaging tray; electronics plastic tray; moulded plastic packaging; plastic insert,conditional,Conditional — clean packaging only,"Clean rigid plastic packaging trays may be accepted if they are plastic, empty, clean and dry.","Remove paper, foam, tape and labels where practical.","If it is black plastic, foam, foil-lined, dirty, or mixed with paper, do not use this bin.",,Packaging,Medium,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P052,black plastic; black plastic tray; black takeaway container; black food tray,conditional,Conditional — check site policy,Black plastic can be difficult for some sorting systems. Only recycle it if your plastics-only bin signage or facilities team confirms it is accepted.,Clean and dry fully before recycling.,"If unsure or food-stained, use general waste.",Ask facilities whether black plastic is accepted by your recycler.,Hard-to-sort plastics,Medium,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P053,PVC; PVC plastic; vinyl; vinyl packaging; PVC folder,conditional,Conditional — often not accepted,PVC/vinyl plastics are not always accepted in general plastic recycling streams. Check the bin signage or facilities guidance.,Only recycle if the site explicitly accepts PVC.,"If unsure, use general waste.",Ask facilities to clarify accepted plastic resin types.,Plastic resin types,Medium,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P054,plastic number 1; PET 1; PETE 1; resin code 1,yes,Usually yes — PET bottles/containers are commonly accepted,"PET plastic bottles and containers are generally acceptable when empty, clean and dry.","Empty, rinse if sticky, and dry.","If contaminated or not packaging, use general waste or ask facilities.",,Plastic resin types,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P055,plastic number 2; HDPE 2; resin code 2,yes,Usually yes — HDPE bottles/containers are commonly accepted,"HDPE plastic bottles and containers are generally acceptable when empty, clean and dry.","Empty, rinse if sticky, and dry.","If contaminated or chemical-stained, ask facilities.",,Plastic resin types,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P056,plastic number 5; PP 5; polypropylene; resin code 5,conditional,Usually accepted if it is clean rigid packaging,"PP containers, tubs and lids may be accepted if they are rigid packaging and are empty, clean and dry.","Empty, rinse and dry.","If it is disposable cutlery, straw, dirty foodware or a tiny item, do not use this bin.",,Plastic resin types,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P057,plastic number 3; plastic number 4; plastic number 6; plastic number 7; LDPE 4; PS 6; other 7; resin code,conditional,Conditional — the number alone is not enough,"Plastic resin numbers help identify material, but they do not automatically prove the item is accepted. Use the item type and condition to decide.","If it is clean plastic packaging and your site accepts it, recycle it. If unsure, ask facilities.","Keep contaminated, tiny, foam, mixed-material and non-packaging plastics out.",Ask facilities for site-specific resin guidance.,Plastic resin types,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P058,battery; batteries; power bank; lithium battery; alkaline battery,no,No — batteries are e-waste/hazardous waste,Batteries and power banks must not go into the plastics-only bin.,,Use dedicated battery or e-waste recycling points.,Report immediately if batteries are found in the bin.,E-waste,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P059,phone; charger; cable; earpiece; headphones; mouse; keyboard; USB; electronic; e-waste,no,No — e-waste does not belong here,"Electronics, chargers, cables and e-waste should not go into the plastics-only bin.",,Use an e-waste recycling point or ask facilities.,Report e-waste contamination.,E-waste,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P060,clothes; textile; shirt; shoes; bag; fabric; tote bag,no,No — textiles and shoes are not accepted,"Clothes, shoes, fabric and bags do not belong in a plastics-only bin.",,Donate usable items or use a textile recycling/donation stream. Use general waste if unusable.,,Textiles,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P061,wood; wooden chopsticks; chopsticks; ice cream stick,no,No — wood is not plastic,Wooden items and chopsticks are not plastic and should not go into the plastics-only bin.,,Use general waste unless a dedicated organics/wood stream is available.,,Non-plastic waste,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P062,takeaway bag with food; plastic bag with food; bag of rubbish; trash bag; rubbish bag; general waste bag,no,No — bagged rubbish is contamination,Do not place bagged rubbish or bags containing mixed waste into the plastics-only bin.,,"Use general waste. Only clean, empty plastic items should enter the plastics-only bin.",Report contamination if rubbish bags are found.,Contamination,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P063,pizza box; food box; greasy cardboard; paper food box,no,No — food-stained paper/cardboard is not accepted,Food-stained boxes and greasy cardboard should not go into the plastics-only bin.,,Use general waste.,Report if food boxes contaminate the bin.,Contamination,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P064,wet plastic; dirty plastic; sticky plastic; smelly plastic; plastic with residue,no,No — clean and dry first,"Wet, sticky, dirty or smelly plastic should not go into this bin because it can contaminate the plastics stream.",Rinse and dry only if it is easy to clean.,"If cleaning would use too much water or the item remains dirty, use general waste.",Report if wet waste is found in the bin.,Contamination,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
