faq_id,question_keywords,user_question,short_answer,full_chatbot_answer,follow_up_prompt,topic,source_url
F032,what if no exact match; not listed; unknown plastic,What if my item is not listed?,Use the four checks and be cautious.,"If the item is not listed, recycle it only if it is clearly plastic packaging, empty, clean, dry and allowed by the site signage. If it is mixed, dirty, wet, food-stained, tiny, foam, electronic or hazardous, keep it out.",Ask facilities if unsure.,Fallback,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F033,where does recycling go; what happens after collection; sorting; MRF,What happens after recyclables are collected?,They are sorted at Materials Recovery Facilities.,"Recyclables collected from Singapore’s blue bins are sent to Materials Recovery Facilities, where different material types are sorted and sent to recycling plants. For your site’s plastics-only bin, the collector may handle plastics separately depending on your contract.",Ask facilities for your company’s collection arrangement.,Recycling process,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F034,separate plastics by number; sort plastic types; PET HDPE separate,Do I need to separate plastics by number?,"No, not for normal users unless your site says so.","For typical public recycling guidance, users do not need to separate plastics by resin number. For this plastics-only bin, follow the item rules and site signage.",Ask facilities if your company has a specialised plastic sorting process.,Sorting,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F035,do I wash with soap; how much water; wasting water,Do I need to wash plastic items with soap?,Usually no.,A quick rinse is usually enough if there is residue. Do not spend excessive water trying to clean very greasy containers; use general waste instead.,The item should be clean enough not to contaminate other plastics.,Preparation,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F036,plastic from lab; chemical bottle; hazardous container; paint container,Can chemical or hazardous plastic containers go into this bin?,"No, not without facilities approval.","Containers that held hazardous chemicals, lab materials, paint, solvents or unknown substances should not go into the plastics-only bin.","Ask facilities, EHS or the relevant safety team.",Hazardous waste,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F037,shampoo bottle; detergent bottle; soap bottle,"Can shampoo, soap or detergent bottles go in?","Yes, if empty, clean and dry.","Plastic shampoo, soap and detergent bottles are accepted if fully empty, rinsed where needed, clean and dry.",Remove mixed-material pumps if possible.,Plastic bottles,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F038,takeaway plastic bag; plastic bag from food; dirty plastic bag,Can a plastic bag used for food go in?,Only if it is completely clean and dry.,"A food-stained or wet plastic bag should not go into the plastics-only bin. If it is clean, dry and your site accepts soft plastics, it may be accepted.","If unsure, use general waste.",Soft plastics,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F039,does colour matter; green bottle; blue bottle; clear bottle; brown bottle,Does the colour of a plastic bottle matter?,Usually no for simple user sorting.,"For this bin, colour is less important than material and condition. If it is a plastic bottle and it is empty, clean and dry, it can usually go in.","If it is glass instead of plastic, do not place it in this bin.",Plastic bottles,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F040,how to improve recycling; reduce contamination; tips,How can we reduce contamination?,Use clear prompts and the four checks.,"Place clear signage near the bin, remind users that the bin is plastics-only, and use simple prompts: Plastic? Empty? Clean? Dry? Keep food, liquids, tissue and non-plastic items out.",Use the report issue form when contamination happens.,Behaviour,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F041,who to ask; facilities; sustainability team; unclear rule,Who should I ask if I am unsure?,Ask facilities or the sustainability team.,"If an item is unclear, do not guess. Ask facilities or the sustainability team to confirm whether that item is accepted by your office’s plastics-only recycling service.",You can also improve the CSV by adding a new rule for that item.,Escalation,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F042,CSV; add new rule; dictionary; improve chatbot,How do I improve the chatbot dictionary?,Add item-specific keywords.,"For better matching, add common user phrases into the item_keywords column. For example, add 'green tea bottle', 'tea bottle', 'drink bottle' and 'plastic drink bottle' instead of only 'bottle'.",Test with real user questions and add missing phrases.,Maintenance,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F043,why answer no exact match; exact match; not recognised,Why did the chatbot say no exact match?,The keyword dictionary did not contain the phrase.,"Your matcher searches the CSV keyword phrases. If a phrase like 'green tea bottle' is missing, the bot may fail even though the answer is obvious. Add natural user wording and synonyms to the CSV.",This updated CSV includes common names and synonyms.,Maintenance,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F044,can general waste go here; rubbish; trash; bag of rubbish,Can general waste go here?,No.,"General waste, bagged rubbish and mixed trash should never go into the plastics-only recycling bin. They contaminate the bin and may cause recyclable plastics to be discarded.",Use the general waste bin.,Contamination,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F045,can I recycle everything related recycling; all recycling questions; other recycling,Can PlasticBot answer all recycling questions?,"It can answer broad recycling questions, but the action must stay plastics-only.","PlasticBot can explain general recycling concepts and redirect users to the correct stream, but it should only approve items for this bin when they are eligible plastic items that are empty, clean and dry.","Ask about any item and the bot will either accept, reject or redirect it.",Scope,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
